Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Label
6,681718,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340859.0,426303.3646688705,642301.0,39417.0,0.0,0.0,0.0,0.0,0.0,642301.0,642301.0,0.0,642301.0,642301.0,0.0,0.0,0.0,0.0,skype_audio
6,14582312,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7291156.0,10230770.220956877,14525403.0,56909.0,0.0,0.0,0.0,0.0,0.0,14525403.0,14525403.0,0.0,14525403.0,14525403.0,0.0,0.0,0.0,0.0,unknown
6,429549,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429549.0,0.0,429549.0,429549.0,429549.0,429549.0,0.0,429549.0,429549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown
6,16758883,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8379441.5,11798297.968520056,16722098.0,36785.0,0.0,0.0,0.0,0.0,0.0,16722098.0,16722098.0,0.0,16722098.0,16722098.0,0.0,0.0,0.0,0.0,unknown
6,14343729,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7171864.5,10065568.15656148,14289296.0,54433.0,0.0,0.0,0.0,0.0,0.0,14289296.0,14289296.0,0.0,14289296.0,14289296.0,0.0,0.0,0.0,0.0,unknown
6,109653,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109653.0,0.0,109653.0,109653.0,109653.0,109653.0,0.0,109653.0,109653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown
6,4669784,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4669784.0,0.0,4669784.0,4669784.0,4669784.0,4669784.0,0.0,4669784.0,4669784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown
6,19105846,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,4776461.5,6611302.889399461,14050000.0,77.0,14107798.0,14107798.0,0.0,14107798.0,14107798.0,19048125.0,9524062.5,6400642.19495298,14050000.0,4998125.0,0.0,31.0,5.166666666666667,12.655697004379752,skype_audio
6,19188191,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,4797047.75,6648453.280014551,14128003.0,80.0,14183299.0,14183299.0,0.0,14183299.0,14183299.0,19132975.0,9566487.5,6450957.08507509,14128003.0,5004972.0,0.0,31.0,5.166666666666667,12.655697004379752,skype_audio
6,63001,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63001.0,0.0,63001.0,63001.0,63001.0,63001.0,0.0,63001.0,63001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown
