duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,class1
9368711,16,4,1564818,1549373,190205.285714286,203290.456521739,389822.391916579,370323.71975366,10.3536121458,4802.6884381427,4,1523088,97590.7395833333,267600.198443351,1871488,1983656.33333333,2195089,183219.697914371,1234883,1420565,1523088,161096.539275367,Non-VPN
7340238,18,4,1567554,1527893,165686.977272727,186914.846153846,317267.548742198,304370.651301392,11.5800059889,4340.1862446422,4,1517774,87383.7857142857,221462.862027935,1491627,3572433,5653239,2942704.06586714,1131498,1324636,1517774,273138.379007784,Non-VPN
4644225,29,15,1270547,1079974,165865.178571429,195302.130434783,329473.126260763,300492.588226672,11.412022458,4161.5124159575,15,1079974,89312.0192307692,217475.425246434,1758922,1758922,1758922,0,1079974,1079974,1079974,0,Non-VPN
4978735,19,8,2492050,2457286,239543.25,276596.388888889,612435.304238344,628339.573543744,8.0341693221,3918.6660868675,8,2441990,127659.871794872,436959.716435875,1710925,2382905,3054885,950323.229642946,1346073,1894031.5,2441990,774930.342316972,Non-VPN
11838189,19,10,3094089,3093543,243766.5,295954.725,599721.781708801,625632.703972198,7.6025142021,2802.5401520452,10,3042717,133013.359550562,436129.639296405,1747431,2400446,3240696,623274.390468329,1394455,1983227,3042717,725987.829074978,Non-VPN
11771793,30,6,3149632,2964504,244008.020833333,255167.347826087,632857.385277182,607541.355369903,8.1550873346,3683.2961639743,6,2964504,123913.610526316,435676.952939631,1443143,2872733,3563174,965103.52482087,1065834,1933295,2964504,1008644.52279962,Non-VPN
13978645,17,7,2249885,2064514,215483.375,254157.181818182,484527.921324867,462592.986971292,8.6560607269,3046.003385879,7,2064514,116488.708333333,334260.19200433,1363299,2254176.2,3870047,1010713.69802207,1147658,1533121.8,2064514,421832.929402684,Non-VPN
13942087,22,6,2426308,2425956,231527.716666667,248101.035714286,516661.130190786,507941.688524774,8.4635822456,3683.8817603132,6,2375478,119163.136752137,363365.684614578,2076878,2741696.8,4001564,772121.497542291,1252392,1719479.4,2375478,430172.04695976,Non-VPN
7863522,30,8,2067690,2068091,244213.125,252051.483870968,571806.194574827,562812.286698527,8.2660161693,3567.8669176484,8,2017289,122867.53125,400581.17073558,2092947,2535198.66666667,3282729,650992.780391483,1707343,1897912,2017289,166786.859124153,Non-VPN
8259704,18,9,2321059,2278426,269051.3,330388.16,639533.232125757,637243.988848213,6.9009736911,2352.3845406567,9,2270116,147494.714285714,449957.584261701,2368851,2687726,3162320,419028.124008998,1702783,1980072,2270116,283881.490662037,Non-VPN
9501115,28,16,4238250,4049808,296908.78125,364985.5,807291.578739526,825945.83339029,6.3150482864,2260.3662833257,16,4049808,161035.847457627,571035.072721225,4457215,4565761,4674307,153507.225338093,1632072,2840940,4049808,1709597.52071855,Non-VPN
5545334,30,6,2349340,2315198,267851.55,291859.684210526,662553.265034512,667200.262668693,7.3936033429,3556.6838715215,6,2297754,138633.35,468135.293018252,2347008,2656002,2964996,436983.505490768,1978303,2138028.5,2297754,225885.96835461,Non-VPN
3483711,19,12,1039941,851636,143033.25,155777.136363636,236563.52363753,207113.54334043,13.7784104365,5734.6892437404,12,851636,74121.5106382979,145636.797287304,-1,0,-1,0,-1,0,-1,0,Non-VPN
12128582,21,8,8107194,7918721,461149.076923077,527329.652173913,1616625.83405983,1669652.39612461,4.2049433314,1559.2919271189,8,7918721,242571.64,1148808.90116345,2762034,5957443.5,9152853,4518991.45223572,2066591,4992656,7918721,4138080.80738511,Non-VPN
216249,27,10,78594,187939,15779.8,54062.25,35114.243227642,90233.9160954276,50.8672872476,17313.3748595369,10,137318,21624.9,44117.9569813824,-1,0,-1,0,-1,0,-1,0,Non-VPN
14701087,20,5,5881392,5932194,284572.901960784,341885.744186047,889248.028147013,946533.66775493,6.5301293707,2336.9700485413,5,5881355,154748.284210526,649646.590332843,2757283,4248801.33333333,6270335,1815508.40781634,1297996,3043251.33333333,5881355,2479421.91659101,Non-VPN
10300439,18,5,3029278,2997586,206406.551020408,223922.586956522,529234.255643455,528180.127729255,9.4170743596,4264.8667692707,5,2979791,107296.239583333,374934.602756751,1566070,2510109.5,3810504,1123164.83466023,1197148,1725752.75,2979791,839675.395401451,Non-VPN
13779710,72,138,13099598,13090662,1525469.66666667,1721668.875,4340984.86227508,4594460.31300888,1.378838887,564.888520876,23,13047812,765539.444444445,3065746.57824807,13243650,13200000,13243650,0,13047812,13000000,13047812,0,Non-VPN
620945,18,6,156252,183469,31283.1428571429,51745.4166666667,49119.2975337473,65032.495404512,45.0925605327,21336.8333749366,6,138002,22997.962962963,38169.6703598969,-1,0,-1,0,-1,0,-1,0,Non-VPN
