"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.8.8.110","199.233.217.27","NTP","76","NTP Version 4, client"
"2","0.267490","199.233.217.27","10.8.8.110","NTP","76","NTP Version 4, server"
"3","5.306131","10.8.8.110","216.58.208.46","TCP","52","33063  >  80 [ACK] Seq=1 Ack=1 Win=241 Len=0 TSval=65688 TSecr=296438506"
"4","5.427182","216.58.208.46","10.8.8.110","TCP","52","[TCP ACKed unseen segment] 80  >  33063 [ACK] Seq=1 Ack=2 Win=341 Len=0 TSval=296448652 TSecr=55580"
"5","15.448383","10.8.8.110","216.58.208.46","TCP","52","[TCP Dup ACK 3#1] 33063  >  80 [ACK] Seq=1 Ack=1 Win=241 Len=0 TSval=68224 TSecr=296448652"
"6","15.570617","216.58.208.46","10.8.8.110","TCP","52","[TCP Dup ACK 4#1] 80  >  33063 [ACK] Seq=1 Ack=2 Win=341 Len=0 TSval=296458795 TSecr=55580"
"7","25.593728","10.8.8.110","216.58.208.46","TCP","52","[TCP Dup ACK 3#2] 33063  >  80 [ACK] Seq=1 Ack=1 Win=241 Len=0 TSval=70760 TSecr=296458795"
"8","25.713951","216.58.208.46","10.8.8.110","TCP","52","[TCP Dup ACK 4#2] 80  >  33063 [ACK] Seq=1 Ack=2 Win=341 Len=0 TSval=296468941 TSecr=55580"
"9","35.737038","10.8.8.110","216.58.208.46","TCP","52","[TCP Dup ACK 3#3] 33063  >  80 [ACK] Seq=1 Ack=1 Win=241 Len=0 TSval=73296 TSecr=296468941"
"10","35.858926","216.58.208.46","10.8.8.110","TCP","52","[TCP Dup ACK 4#3] 80  >  33063 [ACK] Seq=1 Ack=2 Win=341 Len=0 TSval=296479085 TSecr=55580"
"11","45.881861","10.8.8.110","216.58.208.46","TCP","52","[TCP Dup ACK 3#4] 33063  >  80 [ACK] Seq=1 Ack=1 Win=241 Len=0 TSval=75832 TSecr=296479085"
"12","46.002585","216.58.208.46","10.8.8.110","TCP","52","[TCP Dup ACK 4#4] 80  >  33063 [ACK] Seq=1 Ack=2 Win=341 Len=0 TSval=296489230 TSecr=55580"
"13","56.024429","10.8.8.110","216.58.208.46","TCP","52","[TCP Dup ACK 3#5] 33063  >  80 [ACK] Seq=1 Ack=1 Win=241 Len=0 TSval=78368 TSecr=296489230"
"14","56.146050","216.58.208.46","10.8.8.110","TCP","52","[TCP Dup ACK 4#5] 80  >  33063 [ACK] Seq=1 Ack=2 Win=341 Len=0 TSval=296499374 TSecr=55580"
"15","66.168105","10.8.8.110","216.58.208.46","TCP","52","[TCP Dup ACK 3#6] 33063  >  80 [ACK] Seq=1 Ack=1 Win=241 Len=0 TSval=80904 TSecr=296499374"
"16","66.289992","216.58.208.46","10.8.8.110","TCP","52","[TCP Dup ACK 4#6] 80  >  33063 [ACK] Seq=1 Ack=2 Win=341 Len=0 TSval=296509518 TSecr=55580"
"17","76.313023","10.8.8.110","216.58.208.46","TCP","52","[TCP Dup ACK 3#7] 33063  >  80 [ACK] Seq=1 Ack=1 Win=241 Len=0 TSval=83440 TSecr=296509518"
"18","76.437399","216.58.208.46","10.8.8.110","TCP","52","[TCP Dup ACK 4#7] 80  >  33063 [ACK] Seq=1 Ack=2 Win=341 Len=0 TSval=296519663 TSecr=55580"
"19","80.443747","10.8.8.110","216.58.208.46","TCP","52","[TCP Previous segment not captured] 33063  >  80 [FIN, ACK] Seq=2 Ack=1 Win=241 Len=0 TSval=84472 TSecr=296519663"
"20","80.567225","216.58.208.46","10.8.8.110","TCP","52","80  >  33063 [FIN, ACK] Seq=1 Ack=3 Win=341 Len=0 TSval=296523795 TSecr=84472"
"21","80.567274","10.8.8.110","216.58.208.46","TCP","52","33063  >  80 [ACK] Seq=3 Ack=2 Win=241 Len=0 TSval=84503 TSecr=296523795"
"22","102.068965","10.8.8.110","198.7.63.141","DNS","65","Standard query 0x438d A smtp.googlemail.com"
"23","102.069005","10.8.8.110","78.46.223.24","DNS","65","Standard query 0x438d A smtp.googlemail.com"
"24","102.069670","10.8.8.110","198.7.63.141","DNS","65","Standard query 0xff32 AAAA smtp.googlemail.com"
"25","102.211623","198.7.63.141","10.8.8.110","DNS","256","Standard query response 0x438d A smtp.googlemail.com CNAME googlemail-smtp.l.google.com A 64.233.184.16 NS ns2.google.com NS ns1.google.com NS ns3.google.com NS ns4.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10"
"26","102.211683","78.46.223.24","10.8.8.110","DNS","256","Standard query response 0x438d A smtp.googlemail.com CNAME googlemail-smtp.l.google.com A 64.233.184.16 NS ns2.google.com NS ns1.google.com NS ns4.google.com NS ns3.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10"
"27","102.211702","198.7.63.141","10.8.8.110","DNS","268","Standard query response 0xff32 AAAA smtp.googlemail.com CNAME googlemail-smtp.l.google.com AAAA 2a00:1450:400c:c0b::10 NS ns1.google.com NS ns3.google.com NS ns2.google.com NS ns4.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10"
"28","102.212973","10.8.8.110","64.233.184.16","TCP","60","37386  >  465 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM TSval=89915 TSecr=0 WS=128"
"29","102.344748","64.233.184.16","10.8.8.110","TCP","60","465  >  37386 [SYN, ACK] Seq=0 Ack=1 Win=42540 Len=0 MSS=1320 SACK_PERM TSval=267244383 TSecr=89915 WS=128"
"30","102.344823","10.8.8.110","64.233.184.16","TCP","52","37386  >  465 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=89948 TSecr=267244383"
"31","102.345149","10.8.8.110","64.233.184.16","TLSv1.2","234","Client Hello (SNI=smtp.googlemail.com)"
