class1,duration,flowBytesPerSecond,flowPktsPerSecond,max_active,max_biat,max_fiat,max_flowiat,max_idle,mean_active,mean_biat,mean_fiat,mean_flowiat,mean_idle,min_active,min_biat,min_fiat,min_flowiat,min_idle,std_active,std_biat,std_fiat,std_flowiat,std_idle,total_biat,total_fiat
Non-VPN,14998893.0,12726.3392038332,78.9391590433,-1.0,40489.7588075881,18448.8228782288,22108.0,-1.0,0.0,22953.9512423748,4736.1726773756,12678.6923076923,0.0,-1.0,122631.0,22835.0,15.0,-1.0,0.0,,,7172.1167712567,0.0,19.0,40.0
Non-VPN,14983500.0,11135.3822538125,76.2171722228,-1.0,45646.8719512195,18448.1761083744,21723.0,-1.0,0.0,32220.6562479853,4189.9199891152,13131.9018404908,0.0,-1.0,149292.0,21723.0,0.0,-1.0,0.0,,,7082.5520160218,0.0,22.0,129.0
Non-VPN,14982162.0,12060.2754128543,77.0249313817,-1.0,43847.2023460411,18471.2281134402,25188.0,-1.0,0.0,29519.5854229237,4156.5607999526,12994.0693842151,0.0,-1.0,151572.0,25367.0,22.0,-1.0,0.0,,,7024.9565187124,0.0,22.0,58.0
Non-VPN,14998266.0,13315.0725557208,78.8757847074,-1.0,40750.1253405995,18402.8353808354,21580.0,-1.0,0.0,22787.4200269413,4654.7543155289,12688.8883248731,0.0,-1.0,181214.0,23033.0,11.0,-1.0,0.0,,,6918.8815649855,0.0,34.0,53.0
Non-VPN,14999908.0,11368.8030619921,76.4671356651,-1.0,45082.515060241,18450.0713407134,21998.0,-1.0,0.0,30206.3035622373,4743.3442538384,13088.92495637,0.0,-1.0,185421.0,21998.0,34.0,-1.0,0.0,,,7195.2610778046,0.0,36.0,47.0
Non-VPN,14986533.0,10110.4104598442,74.8672157863,-1.0,48768.325732899,18433.6199261993,22204.0,-1.0,0.0,34585.1614043857,4316.5217899085,13368.8965209634,0.0,-1.0,148258.0,22204.0,14.0,-1.0,0.0,,,7018.316448828,0.0,14.0,139.0
Non-VPN,14999893.0,10173.1392350599,74.7338664349,-1.0,49461.7317880795,18359.7221542228,21296.0,-1.0,0.0,33489.2496618126,4315.4392687212,13392.7616071429,0.0,-1.0,160466.0,21296.0,13.0,-1.0,0.0,,,6794.7403457903,0.0,13.0,65.0
Non-VPN,14987227.0,11580.2609782317,76.8654534958,-1.0,43994.5162241888,18479.934648582,23274.0,-1.0,0.0,28326.2037591923,4218.7705216381,13021.0486533449,0.0,-1.0,149984.0,23274.0,42.0,-1.0,0.0,,,6879.5369307177,0.0,42.0,62.0
Non-VPN,14980124.0,12371.7266959873,78.4372679425,-1.0,41619.3314763231,18403.1007371007,22306.0,-1.0,0.0,25679.851254951,4796.5497894662,12759.9011925043,0.0,-1.0,156324.0,22517.0,9.0,-1.0,0.0,,,7145.808502585,0.0,9.0,55.0
Non-VPN,14979884.0,9479.3791460602,73.3650540952,-1.0,52530.7964912281,18448.1330049261,22453.0,-1.0,0.0,36754.8056327714,4242.3812300877,13642.8816029144,0.0,-1.0,163432.0,22453.0,32.0,-1.0,0.0,,,6959.9947041813,0.0,32.0,2394.0
Non-VPN,14999843.0,10360.0417684372,75.5341239238,-1.0,47153.6403785489,18427.3255528256,21655.0,-1.0,0.0,32229.8947479205,4071.9564747504,13250.7446996466,0.0,-1.0,154003.0,21744.0,12.0,-1.0,0.0,,,6779.7167662658,0.0,25.0,162.0
Non-VPN,14997966.0,12519.7643467121,78.1439296502,-1.0,42358.7033898305,18357.8026960784,21448.0,-1.0,0.0,26432.9832170554,4149.4428485836,12807.8274978651,0.0,-1.0,164176.0,21472.0,19.0,-1.0,0.0,,,6693.7346550794,0.0,32.0,152.0
Non-VPN,14984503.0,12853.9465072682,79.0817019423,-1.0,40605.9673913043,18366.9435582822,21487.0,-1.0,0.0,23935.7203174121,4267.9207825817,12655.8302364865,0.0,-1.0,148717.0,21511.0,38.0,-1.0,0.0,,,6605.847807641,0.0,38.0,69.0
Non-VPN,13812792.0,12176.4665680914,76.3060791765,-1.0,45694.9039735099,18412.0493333333,58139.0,-1.0,0.0,33696.8131077503,4632.2803034048,13117.5612535613,0.0,-1.0,262227.0,58139.0,36.0,-1.0,0.0,,,7034.1955919465,0.0,36.0,54.0
Non-VPN,14997951.0,12288.9453365996,104.4809387629,-1.0,19177.0179028133,19152.3141762452,55257.0,-1.0,0.0,4781.2562394827,5124.9410510879,9577.2356321839,0.0,-1.0,56460.0,56780.0,7.0,-1.0,0.0,,,7520.7805464266,0.0,7.0,37.0
Non-VPN,14976320.0,10893.9979914959,36.7246426358,-1.0,248062.7,30689.1803278689,479317.0,-1.0,0.0,201729.197375733,33221.2338546867,27279.2714025501,0.0,-1.0,482963.0,480120.0,7.0,-1.0,0.0,,,32376.1262095794,0.0,7.0,37.0
Non-VPN,14984346.0,12310.5139189925,104.6425382863,-1.0,19134.4865900383,19131.9361430396,25042.0,-1.0,0.0,3969.5686612374,4283.2420776096,9562.4416081685,0.0,-1.0,25702.0,54835.0,11.0,-1.0,0.0,,,6693.1952399952,0.0,33.0,85.0
Non-VPN,14971125.0,6900.4834306039,36.2698194023,-1.0,322624.355555556,30183.7197580645,113685.0,-1.0,0.0,161693.158666578,13907.749937983,27622.0018450184,0.0,-1.0,489790.0,113685.0,39.0,-1.0,0.0,,,15293.916675081,0.0,30295.0,39.0
Non-VPN,14999395.0,12184.6247798661,104.6042190368,-1.0,19132.4125159642,19131.881377551,22873.0,-1.0,0.0,3991.6783051125,3585.072569979,9565.9406887755,0.0,-1.0,25877.0,27643.0,2.0,-1.0,0.0,,,6500.560343747,0.0,47.0,60.0
Non-VPN,14991112.0,7754.0612064002,36.2214624239,-1.0,338641.772727273,30160.6418511066,67797.0,-1.0,0.0,151476.845401558,11929.7407435436,27658.8782287823,0.0,-1.0,484940.0,67797.0,79.0,-1.0,0.0,,,13693.6021743093,0.0,5442.0,79.0
Non-VPN,14997985.0,12301.7858732356,104.7474044013,-1.0,19105.7133757962,19119.6581632653,22344.0,-1.0,0.0,3927.3467963841,3615.3480509117,9552.8566878981,0.0,-1.0,31625.0,26705.0,49.0,-1.0,0.0,,,6185.940817361,0.0,69.0,58.0
Non-VPN,14955845.0,7921.3177189253,36.1731483577,-1.0,335076.11627907,30152.9133064516,75770.0,-1.0,0.0,157315.339130815,12887.0581925091,27696.0092592593,0.0,-1.0,483059.0,75770.0,57.0,-1.0,0.0,,,14434.2919960934,0.0,1876.0,57.0
Non-VPN,14999766.0,12356.1260889003,104.5349640788,-1.0,19156.0230179028,19132.3545918367,24209.0,-1.0,0.0,3802.8964725293,3649.6187495605,9572.2820676452,0.0,-1.0,35855.0,29893.0,60.0,-1.0,0.0,,,6036.0183415154,0.0,60.0,80.0
Non-VPN,14978391.0,7912.8659413418,36.1186992648,-1.0,329052.363636364,30259.3757575758,84635.0,-1.0,0.0,160091.447902781,13226.2711176793,27737.7611111111,0.0,-1.0,487445.0,84635.0,38.0,-1.0,0.0,,,14826.1046342447,0.0,47.0,38.0
Non-VPN,14999248.0,12320.1509835693,104.6719142186,-1.0,19107.3222929936,19129.8620689655,22126.0,-1.0,0.0,3953.3623219414,3533.1380670949,9559.7501593372,0.0,-1.0,25417.0,30040.0,1.0,-1.0,0.0,,,5656.7297075339,0.0,13.0,89.0
Non-VPN,14992199.0,7915.1830895521,36.2188362094,-1.0,317104.52173913,30287.2707070707,85168.0,-1.0,0.0,166624.190668734,12189.6738295286,27660.8837638376,0.0,-1.0,483607.0,85168.0,67.0,-1.0,0.0,,,13880.2118797769,0.0,3855.0,67.0
Non-VPN,14985909.0,12243.9686508172,104.6316242812,-1.0,19103.6964285714,19156.6943734015,22893.0,-1.0,0.0,4027.6160740298,3725.683953735,9563.4390555201,0.0,-1.0,25626.0,36383.0,31.0,-1.0,0.0,,,5515.7437450102,0.0,31.0,623.0
Non-VPN,14983847.0,7909.9846654868,36.1055475273,-1.0,327563.818181818,30270.397979798,75885.0,-1.0,0.0,157536.774648168,12050.2134235806,27747.8648148148,0.0,-1.0,481741.0,75885.0,81.0,-1.0,0.0,,,13865.1778730415,0.0,8916.0,81.0
Non-VPN,14990351.0,12298.5112223189,104.9341673187,-1.0,19105.1683673469,19047.459974587,21757.0,-1.0,0.0,3872.4621814932,4069.7388026435,9535.846692112,0.0,-1.0,25228.0,30448.0,17.0,-1.0,0.0,,,5530.5295285678,0.0,17.0,87.0
Non-VPN,14961062.0,7943.2863790017,36.4947354673,-1.0,311351.25,30163.4314516129,99075.0,-1.0,0.0,161734.097620992,12552.4144494373,27451.4899082569,0.0,-1.0,481778.0,99075.0,56.0,-1.0,0.0,,,14289.9660765555,0.0,3612.0,60.0
Non-VPN,14986355.0,12287.8445092219,104.5617830353,-1.0,19136.1174968072,19156.4693094629,20441.0,-1.0,0.0,3665.0428848882,3804.7532337842,9569.8307790549,0.0,-1.0,25501.0,32664.0,59.0,-1.0,0.0,,,5905.8487989892,0.0,59.0,70.0
Non-VPN,14999852.0,7096.9366897753,36.3336918258,-1.0,332636.340909091,30010.745490982,86494.0,-1.0,0.0,157702.285935334,12567.3695397226,27573.2573529412,0.0,-1.0,483500.0,86494.0,69.0,-1.0,0.0,,,13863.7421750302,0.0,10975.0,69.0
Non-VPN,14984800.0,12344.6425711388,104.6393678928,-1.0,19109.8022959184,19156.0179028133,20394.0,-1.0,0.0,4148.1113047226,3884.9847177359,9562.7313337588,0.0,-1.0,27055.0,28465.0,32.0,-1.0,0.0,,,6144.1469683465,0.0,32.0,59.0
Non-VPN,14978631.0,8029.9728326307,36.1181205412,-1.0,327628.386363636,30259.8606060606,93987.0,-1.0,0.0,172644.551670136,12657.5189590675,27738.2055555556,0.0,-1.0,482773.0,93987.0,104.0,-1.0,0.0,,,14346.2929116362,0.0,8169.0,104.0
Non-VPN,14999225.0,12247.7661345836,104.5387345013,-1.0,19156.098339719,19132.6436781609,20746.0,-1.0,0.0,3762.2824672954,3727.6586627009,9571.9368219528,0.0,-1.0,26559.0,27345.0,40.0,-1.0,0.0,,,6208.4325400156,0.0,40.0,139.0
Non-VPN,14991084.0,7886.5544346226,35.887998493,-1.0,335341.720930233,30407.878296146,74717.0,-1.0,0.0,167788.839998775,12254.8915708798,27916.3575418994,0.0,-1.0,482138.0,74717.0,80.0,-1.0,0.0,,,13792.6326991276,0.0,17145.0,216.0
Non-VPN,14999181.0,12354.0745324695,104.7390520856,-1.0,19107.9783163265,19107.2369426752,20719.0,-1.0,0.0,3927.1700403357,3305.0841708169,9553.6184713376,0.0,-1.0,26112.0,27796.0,36.0,-1.0,0.0,,,6563.1428324429,0.0,41.0,135.0
Non-VPN,14978651.0,7930.7542448249,36.3183573741,-1.0,323823.543478261,30198.8931451613,68910.0,-1.0,0.0,160318.351286045,11740.0317997553,27584.9926335175,0.0,-1.0,484225.0,68910.0,117.0,-1.0,0.0,,,13500.9649033995,0.0,5181.0,117.0
Non-VPN,14986372.0,12362.4316812635,104.6951190055,-1.0,19137.6411238825,19107.5344387755,20943.0,-1.0,0.0,3993.6563824033,4012.407050613,9557.6352040816,0.0,-1.0,27174.0,27393.0,7.0,-1.0,0.0,,,6965.1735209073,0.0,33.0,53.0
Non-VPN,14961411.0,7924.8541464438,36.2265297036,-1.0,320241.622222222,30225.0727272727,71322.0,-1.0,0.0,164572.140819872,12448.1562677515,27655.1035120148,0.0,-1.0,482698.0,71322.0,65.0,-1.0,0.0,,,14167.5597829065,0.0,18170.0,65.0
Non-VPN,14985478.0,12294.3692553551,104.63463361,-1.0,19133.7318007663,19132.0830140485,20779.0,-1.0,0.0,3812.1428579823,3581.7902628024,9563.164007658,0.0,-1.0,26044.0,27265.0,40.0,-1.0,0.0,,,7013.0957706663,0.0,40.0,60.0
Non-VPN,14992491.0,7905.4908220389,36.0847306828,-1.0,335240.813953488,30226.7963709677,82200.0,-1.0,0.0,161523.329348124,13024.5044743705,27763.8722222222,0.0,-1.0,484432.0,82200.0,55.0,-1.0,0.0,,,14661.3336398389,0.0,28857.0,55.0
